settlement_id,settlement_batch_id,merchant_id,gross_amount,fee_amount,net_amount,settlement_status,settled_at
S001,B001,M001,10000,300,9700,COMPLETED,2026-07-05 09:00:00
S002,B002,M001,4500,135,4365,COMPLETED,2026-07-05 09:05:00
S006,B006,M003,15000,600,14300,COMPLETED,2026-07-06 09:00:00
S007,B007,M001,3000,90,2910,COMPLETED,2026-07-06 09:05:00
S008,B008,M002,10000,350,9650,COMPLETED,2026-07-06 09:10:00
S017,B017,M001,25705,771,24934,COMPLETED,2026-07-21 16:45:00
S018,B018,M003,27292,1092,26200,COMPLETED,2026-08-02 12:50:00
S019,B019,M006,28879,1300,27579,COMPLETED,2026-08-14 18:23:00
S020,B020,M002,30646,1073,29573,PENDING,2026-08-22 09:37:00
S021,B021,M005,30759,769,29990,PENDING,2026-09-03 15:51:00
S022,B022,M002,32349,1132,31217,PENDING,2026-07-19 12:05:00
S023,B023,M005,33939,882,33091,COMPLETED,2026-07-31 17:38:00
S024,B024,M001,35529,1101,34463,COMPLETED,2026-08-08 13:52:00
S025,B025,M999,37119,0,37119,COMPLETED,2026-08-20 15:06:00
S026,B026,M004,38709,0,38709,COMPLETED,2026-09-01 10:39:00
S027,B027,M001,40299,1410,38889,COMPLETED,2026-07-17 16:44:00
S028,B028,M005,40662,1010,39402,COMPLETED,2026-07-25 12:58:00
S029,B029,M001,42002,1260,40742,COMPLETED,2026-08-06 18:21:00
S030,B030,M003,43592,1744,41848,COMPLETED,2026-08-14 08:33:00
S031,B031,M006,45182,2033,43149,COMPLETED,2026-08-30 15:59:00
S032,B032,M002,46772,1637,45135,COMPLETED,2026-07-11 11:32:00
S033,B033,M006,2162,97,2065,COMPLETED,2026-07-23 17:46:00
S034,B034,M002,3752,131,3621,COMPLETED,2026-08-04 14:00:00
S035,B035,M005,3865,97,3768,COMPLETED,2026-08-16 14:33:00
S036,B036,M001,5455,164,5291,COMPLETED,2026-08-24 10:38:00
S037,B037,M003,7045,282,6763,COMPLETED,2026-07-09 16:52:00
S038,B038,M006,8635,389,8246,COMPLETED,2026-07-21 12:25:00
S039,B039,M002,10225,358,9867,COMPLETED,2026-08-02 18:39:00
S040,B040,M005,11815,295,11520,COMPLETED,2026-08-10 09:53:00
S041,B041,M001,13405,402,13003,COMPLETED,2026-08-22 15:26:00
S042,B042,M003,13518,541,12977,COMPLETED,2026-09-03 11:40:00
S043,B043,M006,15108,680,14428,COMPLETED,2026-07-19 17:54:00
S044,B044,M003,16698,668,16030,COMPLETED,2026-07-27 14:08:00
S045,B045,M006,18288,823,17465,COMPLETED,2026-08-08 14:32:00
S046,B046,M002,19878,696,19182,COMPLETED,2026-08-20 10:46:00
S047,B047,M005,21468,537,20931,COMPLETED,2026-09-01 17:00:00
S048,B048,M001,23058,692,22366,COMPLETED,2026-07-13 12:33:00
S049,B049,M003,23171,927,22244,COMPLETED,2026-07-25 18:47:00
S050,B050,M006,24761,1114,23647,COMPLETED,2026-08-06 10:01:00
S051,B051,M002,26351,922,25429,COMPLETED,2026-08-18 15:34:00
S052,B052,M005,27941,699,27242,COMPLETED,2026-08-26 11:48:00
S053,B053,M001,29531,886,28645,COMPLETED,2026-07-11 18:02:00
S054,B054,M003,31121,1245,29876,COMPLETED,2026-07-23 13:26:00
S055,B055,M001,32711,981,31730,COMPLETED,2026-08-04 14:40:00
S056,B056,M003,32824,1313,31511,COMPLETED,2026-08-12 10:54:00
S057,B057,M006,34414,1549,32865,COMPLETED,2026-08-24 16:27:00
S058,B058,M002,36004,1260,34744,COMPLETED,2026-07-09 12:41:00
S059,B059,M005,37594,940,36654,COMPLETED,2026-07-21 18:55:00
S060,B060,M001,39184,1176,38008,COMPLETED,2026-07-29 09:28:00
S061,B061,M003,40774,1631,39143,COMPLETED,2026-08-10 15:42:00
S062,B062,M006,42364,1906,40458,COMPLETED,2026-08-22 11:56:00
S063,B063,M002,42477,1487,40990,COMPLETED,2026-09-03 18:01:00
S064,B064,M005,44067,1102,42965,COMPLETED,2026-07-15 13:34:00
S065,B065,M001,45657,1370,44287,COMPLETED,2026-07-27 14:48:00
S066,B066,M005,47247,1181,46066,COMPLETED,2026-08-08 11:02:00
S067,B067,M001,2637,79,2558,COMPLETED,2026-08-20 16:35:00
S068,B068,M003,4227,169,4058,COMPLETED,2026-08-28 12:49:00
S069,B069,M006,5817,262,5555,COMPLETED,2026-07-13 19:03:00
S070,B070,M002,5930,208,5722,COMPLETED,2026-07-25 09:36:00
S071,B071,M005,7520,188,7332,COMPLETED,2026-08-06 15:50:00
S072,B072,M001,9110,273,8837,COMPLETED,2026-08-14 11:55:00
S073,B073,M003,10700,428,10272,COMPLETED,2026-08-26 17:28:00
S074,B074,M006,12290,553,11737,COMPLETED,2026-07-11 13:42:00
S075,B075,M002,13880,486,13394,COMPLETED,2026-07-23 14:56:00
S076,B076,M005,15470,387,15083,COMPLETED,2026-07-31 10:29:00
S077,B077,M002,15583,545,15038,COMPLETED,2026-08-12 16:43:00
S078,B078,M005,17173,429,16744,COMPLETED,2026-08-24 12:57:00
S079,B079,M001,18763,563,18200,COMPLETED,2026-09-05 18:30:00
S080,B080,M003,20353,814,19539,COMPLETED,2026-07-17 09:44:00
S081,B081,M006,21943,987,20956,COMPLETED,2026-07-29 15:49:00
S082,B082,M002,23533,824,22709,COMPLETED,2026-08-10 11:22:00
S083,B083,M005,25123,628,24495,COMPLETED,2026-08-22 17:36:00
S084,B084,M001,25236,757,24479,COMPLETED,2026-08-30 13:50:00
S085,B085,M003,26826,1073,25753,COMPLETED,2026-07-15 15:04:00
S086,B086,M006,28416,1279,27137,COMPLETED,2026-07-27 10:37:00
S087,B087,M002,30006,1050,28956,COMPLETED,2026-08-08 16:51:00
S088,B088,M006,31596,1422,30174,COMPLETED,2026-08-16 13:05:00
S089,B089,M002,33186,1162,32024,COMPLETED,2026-08-28 18:38:00
S090,B090,M005,34776,869,33907,COMPLETED,2026-07-13 09:43:00
S091,B091,M001,34889,1047,33842,COMPLETED,2026-07-25 15:57:00
S092,B092,M003,36479,1459,35020,COMPLETED,2026-08-02 11:30:00
S093,B093,M006,38069,1713,36356,COMPLETED,2026-08-14 17:44:00
S094,B094,M002,39659,1388,38271,COMPLETED,2026-08-26 13:58:00
S095,B095,M005,41249,1031,40218,COMPLETED,2026-07-11 14:31:00
S096,B096,M001,42839,1285,41554,COMPLETED,2026-07-19 10:45:00
S097,B097,M003,44429,1777,42652,COMPLETED,2026-07-31 16:59:00
S098,B098,M006,44542,2004,42538,COMPLETED,2026-08-12 12:32:00
S099,B099,M003,46132,1845,44287,COMPLETED,2026-08-24 18:37:00
S100,B100,M006,47722,2147,45575,COMPLETED,2026-09-01 09:51:00
S101,B101,M002,3112,109,3003,COMPLETED,2026-07-17 15:24:00
S102,B102,M005,4702,118,4584,COMPLETED,2026-07-29 11:38:00
S103,B103,M001,6292,189,6103,COMPLETED,2026-08-10 17:52:00
S104,B104,M003,7882,315,7567,COMPLETED,2026-08-18 14:06:00
